respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.10249087571182054,0.20096980203354411
26708,0.05182857664963489,0.07110544413006441
26709,0.15124785174083938,0.7668013364014333
26710,0.7444665541746657,0.8979393286490179
26711,0.23538361042612913,0.4119654008096618
26712,0.8960278317170546,0.9284415854498085
26713,0.19030030502344275,0.6860515454879863
26714,0.12115053396888492,0.1232504969496736
26715,0.04920667841606103,0.09794967500276612
26716,0.1590039458196975,0.8993945482583672
26717,0.04944360617114042,0.370001275091849
26718,0.3114479457379976,0.6198618077411344
26719,0.08806671363586449,0.9075713854596711
26720,0.050546500736036656,0.17879811406231222
26721,0.3636720062736028,0.42945899842482194
26722,0.07601168801986904,0.10634390605957557
26723,0.8646912297647033,0.911366988491434
26724,0.0522358349652947,0.8000569667118257
26725,0.04768729584681508,0.0794676043278333
26726,0.05820712993907131,0.08248125480139192
26727,0.49341312463583775,0.9051324161518904
26728,0.17220795283658025,0.6136273670712575
26729,0.18955071870844473,0.8064942569832827
26730,0.05679426209769468,0.12912023199692652
26731,0.05615902531669501,0.19876212527996429
26732,0.09461939118093196,0.12861093378413044
26733,0.9520026683392152,0.9304367904146984
26734,0.8636504267057725,0.3318785715086945
26735,0.06890007035773549,0.27811351966642317
26736,0.06473890724912797,0.1272615458364357
26737,0.06731542649534755,0.09715661720106016
26738,0.8810945714637032,0.8883547960991397
26739,0.0795232895546925,0.18348473335428034
26740,0.10651963699048202,0.10146132520867375
26741,0.0704636425375027,0.900835947588757
26742,0.07747895105588477,0.31869555371456915
26743,0.06240948879001142,0.4753410498230197
26744,0.06195262140164759,0.7948059821072232
26745,0.06848432276456685,0.8720502852779406
26746,0.14671219682827832,0.34640874705864017
26747,0.058380634502623326,0.129608087411616
26748,0.06659416213647196,0.08435721988337092
26749,0.07946378564563283,0.7254793233225214
26750,0.3746733442800177,0.8715938992317313
26751,0.5702751832467324,0.8383673646199559
26752,0.06960776854983584,0.10117550659205457
26753,0.20568191128497224,0.6527908934782949
26754,0.1401211784077379,0.5554097570515297
26755,0.09546875823221417,0.3828836075426043
26756,0.05141772366592384,0.07085218381692232
26757,0.17882038243930212,0.4998978019642933
26758,0.6138416816701685,0.8667856761596994
26759,0.04917947924625965,0.1313997209053087
26760,0.05591754978457802,0.09794838392826861
26761,0.3407228057878203,0.742567500617555
26762,0.116872764880145,0.857018990022759
26763,0.92402187728833,0.9227912076560597
26764,0.9437346287290601,0.929720143273275
26765,0.0691971895251956,0.7497603536889865
26766,0.10137473560218745,0.13267994446888118
26767,0.9185336097795875,0.7717769506217228
26768,0.05535894392338556,0.3299685278203048
26769,0.07417420841070574,0.15091977594952244
26770,0.06232266795398264,0.49918032877948476
26771,0.05465646112014739,0.1076063389616193
26772,0.06624883678130977,0.4860528393557453
26773,0.06216126238021842,0.2098037989374453
26774,0.060661234436496694,0.3330800471862055
26775,0.05269767139029243,0.45131730837648365
26776,0.38750612491770325,0.3751528352152461
26777,0.09820579010051059,0.8722362173888171
26778,0.07615179751002848,0.07883081042512965
26779,0.15486934565980773,0.6437659536669542
26780,0.07599263838507427,0.9064864331966007
26781,0.06667178211670757,0.3528803301292847
26782,0.06454976772170572,0.27105596208647964
26783,0.05223436530111456,0.19655012680375927
26784,0.09984857836841605,0.8678366777587944
26785,0.4969310235401998,0.73223226691261
26786,0.058366756835175025,0.16960857350285324
26787,0.05804514470955539,0.5874664552775626
26788,0.06243972039082871,0.8380299879957301
26789,0.052913647897616246,0.15352635856529212
26790,0.05023750395917902,0.1530551286618156
26791,0.06414292945652714,0.1051419651634678
26792,0.07278773435994022,0.766490835570347
26793,0.11121339070219834,0.9214188692573738
26794,0.6071048114583388,0.877587787265306
26795,0.1029807372036789,0.9228394627402001
26796,0.05301271468562531,0.07333318358293246
26797,0.1381255595255872,0.7980875371767949
26798,0.2523347270084265,0.1856698540494631
26799,0.22632233620275904,0.2774060033600901
26800,0.06856226877404942,0.9251496426476282
26801,0.16410835297910092,0.30824327719693934
26802,0.08141081842102438,0.15215832783991393
26803,0.057921773309781564,0.13672944002113643
26804,0.056995861966655105,0.08765294708901415
26805,0.0653740482853528,0.12034738391992617
26806,0.052602950246979065,0.9130780413290087
26807,0.3324755631844576,0.8830903382264758
26808,0.06568491925176655,0.34038698780443494
26809,0.625761604431358,0.17187121178532663
26810,0.05958708923643197,0.09513032055775002
26811,0.051240815826218436,0.08256045024034811
26812,0.1973958716387719,0.8881400776136972
26813,0.5621535997756267,0.3966884221217282
26814,0.049548548808695185,0.721792561306807
26815,0.046593098559596285,0.06996437918080825
26816,0.07034669906611489,0.13635571272777122
26817,0.0530368721698198,0.5356710787496465
26818,0.10649366971480899,0.2645482189650148
26819,0.12723650423610924,0.18863781997885468
26820,0.06289775655298391,0.13056570422752972
26821,0.05713616356485834,0.6651756388803093
26822,0.07450653610705597,0.7385719769112006
26823,0.20588377448554052,0.3242903795213694
26824,0.05158703772933625,0.7617065647238856
26825,0.39068458785909493,0.7252226310900797
26826,0.05709341677991639,0.751984181759994
26827,0.0499093115948834,0.09545110225533851
26828,0.06611150976231041,0.3649691121171705
